ShortLang,Language,TODO,Think,MadeBy,Flag
en,english,TODO,Which tasks will you start with first?,Made With ❤️ By
fa,فارسی,کار ها,ابتدا به چه کارهایی می پردازید؟,ساخته شده با ❤️ توسط
ar,العربية,مهام,ما هي المهام التي ستبدأ بها أولاً؟,صنع مع ❤️ من قبل
bg,български,Задачи,С кои задачи ще започнете първо?,Направен с ❤️ от
ca,català,Tasques,Amb quines tasques començareu primer?,Fet amb ❤️ per
zh-CN,简体中文,任务,您将首先开始哪些任务？,由 ❤️ 制成
zh-TW,繁體中文,任務,您將首先開始哪些任務？,由 ❤️ 制成
cs,čeština,Úkoly,Které úkoly budete dělat jako první?,Vytvořeno s ❤️ od
da,dansk,Opgaver,Hvilke opgaver vil du starte med først?,Lavet med ❤️ af
nl,nederlands,Taken,Welke taken ga je als eerste doen?,Gemaakt met ❤️ door
et,eesti,Ülesanded,Millistest ülesannetest alustate kõigepealt?,Tehtud ❤️ abiga
fi,suomi,Tehtävät,Millä tehtävillä aloitat ensin?,Tehty ❤️ kanssa
fr,français,Tâches,Par quelles tâches commencerez-vous en premier ?,Fait avec ❤️ par
de,deutsch,Aufgaben,Mit welchen Aufgaben beginnen Sie zuerst?,Hergestellt mit ❤️ von
el,ελληνικά,Εργασίες,Ποιες εργασίες θα ξεκινήσετε πρώτα;,Φτιαγμένο με ❤️ από
he,עברית,משימות,עם אילו משימות תתחילו קודם?,עשוי עם ❤️ על ידי
hi,हिंदी,कार्य,आप पहले कौन से कार्य करेंगे?,❤️ के साथ बनाया गया
hu,magyar,Feladatok,Melyik feladattal kezdjük először?,❤️-vel készült
id,bahasa Indonesia,Tugas,Tugas apa yang akan Anda mulai terlebih dahulu?,Dibuat dengan ❤️ oleh
it,italiano,Compiti,Con quali compiti inizierai per primo?,Creato con ❤️ da
ja,日本語,タスク,どのタスクから始めますか？,❤️ で作成
ko,한국어,작업,먼저 어떤 작업을 시작할 예정인가요?,❤️ 사에서 제작
pl,polski,Zadania,Które zadania wykonasz jako pierwsze?,Wykonane z ❤️ przez
pt,português,Tarefas,Com quais tarefas você vai começar primeiro?,Feito com ❤️ por
ro,română,Sarcini,Cu ce sarcini veți începe mai întâi?,Realizat cu ❤️ de
ru,русский,Задачи,С каких задач вы начнете в первую очередь?,Сделано с ❤️ от
sk,slovenčina,Úlohy,S akými úlohami začnete ako prvé?,Vytvorené s ❤️ od
sl,slovenščina,Naloge,Z nalogami boste najprej začeli?,Narejeno z ❤️ s strani
sr,српски,Задаци,Са којим задацима ћете прво почети?,Направљено са ❤️ од
sv,svenska,Uppgifter,Vilka uppgifter kommer du att börja med först?,Gjort med ❤️ av
th,ไทย,งาน,คุณจะเริ่มงานใดเป็นอันดับแรก,สร้างด้วย ❤️ โดย
tr,Türkçe,Görevler,Hangi görevlere önce başlayacaksınız?,❤️ ile Yapıldı
uk,українська,Задачі,З яких завдань ви почнете спочатку?,Зроблено з ❤️ від
vi,tiếng Việt,Nhiệm vụ,Bạn sẽ bắt đầu nhiệm vụ nào trước tiên?,Được tạo bằng ❤️ bởi